model_id,author,slug,vendor_name,name,context_length,max_completion_tokens,input_price_usd_per_1m,output_price_usd_per_1m,supports_reasoning,supports_tools,supports_vision,intelligence_index,coding_index,agentic_index,fetched_at
ai21/jamba-large-1.7,ai21,jamba-large-1.7,AI21,AI21: Jamba Large 1.7,256000,4096,2.0,8.0,False,True,False,10.9,7.8,4.5,2026-05-01T13:31:35Z
aion-labs/aion-1.0,aion-labs,aion-1.0,AionLabs,AionLabs: Aion-1.0,131072,32768,4.0,8.0,True,False,False,,,,2026-05-01T13:31:35Z
aion-labs/aion-1.0-mini,aion-labs,aion-1.0-mini,AionLabs,AionLabs: Aion-1.0-Mini,131072,32768,0.7,1.4,True,False,False,,,,2026-05-01T13:31:35Z
aion-labs/aion-2.0,aion-labs,aion-2.0,AionLabs,AionLabs: Aion-2.0,131072,32768,0.8,1.6,True,False,False,,,,2026-05-01T13:31:35Z
aion-labs/aion-rp-llama-3.1-8b,aion-labs,aion-rp-llama-3.1-8b,AionLabs,AionLabs: Aion-RP 1.0 (8B),32768,32768,0.8,1.6,False,False,False,,,,2026-05-01T13:31:35Z
alfredpros/codellama-7b-instruct-solidity,alfredpros,codellama-7b-instruct-solidity,AlfredPros,AlfredPros: CodeLLaMa 7B Instruct Solidity,4096,4096,0.8,1.2,False,False,False,,,,2026-05-01T13:31:35Z
allenai/olmo-3-32b-think,allenai,olmo-3-32b-think,AllenAI,AllenAI: Olmo 3 32B Think,65536,65536,0.15,0.5,True,False,False,12.1,10.5,0,2026-05-01T13:31:35Z
allenai/olmo-3.1-32b-instruct,allenai,olmo-3.1-32b-instruct,AllenAI,AllenAI: Olmo 3.1 32B Instruct,65536,16384,0.2,0.6,False,True,False,12.2,5.6,7.1,2026-05-01T13:31:35Z
amazon/nova-2-lite-v1,amazon,nova-2-lite-v1,Amazon,Amazon: Nova 2 Lite,1000000,65535,0.3,2.5,True,True,True,29.7,23.9,32.9,2026-05-01T13:31:35Z
amazon/nova-lite-v1,amazon,nova-lite-v1,Amazon,Amazon: Nova Lite 1.0,300000,5120,0.06,0.24,False,True,True,12.7,5.1,5.8,2026-05-01T13:31:35Z
amazon/nova-micro-v1,amazon,nova-micro-v1,Amazon,Amazon: Nova Micro 1.0,128000,5120,0.035,0.14,False,True,False,10.3,4.1,4.7,2026-05-01T13:31:35Z
amazon/nova-premier-v1,amazon,nova-premier-v1,Amazon,Amazon: Nova Premier 1.0,1000000,32000,2.5,12.5,False,True,True,19,13.8,16.4,2026-05-01T13:31:35Z
amazon/nova-pro-v1,amazon,nova-pro-v1,Amazon,Amazon: Nova Pro 1.0,300000,5120,0.8,3.2,False,True,True,13.5,11,4.7,2026-05-01T13:31:35Z
anthropic/claude-3-haiku,anthropic,claude-3-haiku,Anthropic,Anthropic: Claude 3 Haiku,200000,4096,0.25,1.25,False,True,True,12.3,6.7,7,2026-05-01T13:31:35Z
anthropic/claude-3.5-haiku,anthropic,claude-3.5-haiku,Anthropic,Anthropic: Claude 3.5 Haiku,200000,8192,0.8,4.0,False,True,True,18.7,10.7,17.7,2026-05-01T13:31:35Z
anthropic/claude-3.7-sonnet,anthropic,claude-3.7-sonnet,Anthropic,Anthropic: Claude 3.7 Sonnet,200000,128000,3.0,15.0,True,True,True,34.7,27.6,37,2026-05-01T13:31:35Z
anthropic/claude-3.7-sonnet:thinking,anthropic,claude-3.7-sonnet:thinking,Anthropic,Anthropic: Claude 3.7 Sonnet (thinking),200000,64000,3.0,15.0,True,True,True,,,,2026-05-01T13:31:35Z
anthropic/claude-haiku-4.5,anthropic,claude-haiku-4.5,Anthropic,Anthropic: Claude Haiku 4.5,200000,64000,1.0,5.0,True,True,True,37.1,32.6,40.2,2026-05-01T13:31:35Z
anthropic/claude-opus-4,anthropic,claude-opus-4,Anthropic,Anthropic: Claude Opus 4,200000,32000,15.0,75.0,True,True,True,,34,,2026-05-01T13:31:35Z
anthropic/claude-opus-4.1,anthropic,claude-opus-4.1,Anthropic,Anthropic: Claude Opus 4.1,200000,32000,15.0,75.0,True,True,True,,36.5,,2026-05-01T13:31:35Z
